City,Time,Temperature,Humidity,Pressure,WindSpeed,Weather_Class
Shimla,2026-07-31T16:00,16.5,95,780.4,3.8,Cool
Shimla,2026-07-31T17:00,16.3,95,781.0,3.4,Cool
Shimla,2026-07-31T18:00,16.3,94,781.5,2.3,Cool
Shimla,2026-07-31T19:00,16.3,94,781.4,2.8,Cool
Shimla,2026-07-31T20:00,16.2,95,781.1,3.9,Cool
Shimla,2026-07-31T21:00,16.0,96,780.6,4.5,Cool
Shimla,2026-07-31T22:00,15.3,98,779.9,4.2,Cool
Shimla,2026-07-31T23:00,14.6,100,779.3,4.2,Cool
Shimla,2026-08-01T00:00,14.5,98,779.2,3.6,Cool
Shimla,2026-08-01T01:00,15.7,90,780.4,2.3,Cool
Shimla,2026-08-01T02:00,17.7,80,782.1,3.1,Cool
Shimla,2026-08-01T03:00,19.2,74,783.4,4.6,Cool
Shimla,2026-08-01T04:00,19.7,74,783.9,4.8,Cool
Shimla,2026-08-01T05:00,19.7,78,783.9,4.5,Cool
Shimla,2026-08-01T06:00,19.7,82,783.7,4.7,Cool
Shimla,2026-08-01T07:00,19.9,82,783.2,5.0,Cool
Shimla,2026-08-01T08:00,20.1,82,782.5,5.1,Cool
Shimla,2026-08-01T09:00,20.0,83,781.9,4.4,Cool
Shimla,2026-08-01T10:00,19.4,87,781.1,2.3,Cool
Shimla,2026-08-01T11:00,18.4,93,780.5,0.9,Cool
Shimla,2026-08-01T12:00,17.7,98,780.0,2.6,Cool
Shimla,2026-08-01T13:00,17.2,99,779.7,2.7,Cool
Shimla,2026-08-01T14:00,16.9,99,779.4,2.2,Cool
Shimla,2026-08-01T15:00,16.6,99,779.5,1.9,Cool
Shimla,2026-08-01T16:00,16.3,99,779.8,2.2,Cool
Shimla,2026-08-01T17:00,16.0,99,780.3,3.0,Cool
Shimla,2026-08-01T18:00,15.8,98,780.6,3.7,Cool
Shimla,2026-08-01T19:00,15.4,99,780.2,3.7,Cool
Shimla,2026-08-01T20:00,15.0,100,779.5,4.2,Cool
Shimla,2026-08-01T21:00,14.8,100,779.0,4.2,Cool
Shimla,2026-08-01T22:00,14.6,98,778.8,3.3,Cool
Shimla,2026-08-01T23:00,14.4,97,778.8,1.8,Cool
Shimla,2026-08-02T00:00,14.8,94,779.1,0.5,Cool
Shimla,2026-08-02T01:00,16.0,92,780.0,0.9,Cool
Shimla,2026-08-02T02:00,17.7,89,781.3,1.8,Cool
Shimla,2026-08-02T03:00,19.2,85,782.4,1.9,Cool
Shimla,2026-08-02T04:00,20.5,78,783.2,3.6,Cool
Shimla,2026-08-02T05:00,21.6,71,783.8,8.2,Cool
Shimla,2026-08-02T06:00,22.1,68,784.0,10.8,Cool
Shimla,2026-08-02T07:00,21.4,73,783.5,9.4,Cool
Shimla,2026-08-02T08:00,20.1,84,782.5,6.0,Cool
Shimla,2026-08-02T09:00,19.0,92,781.6,3.5,Cool
Shimla,2026-08-02T10:00,18.6,95,781.0,2.9,Cool
Shimla,2026-08-02T11:00,18.4,96,780.5,2.9,Cool
Shimla,2026-08-02T12:00,18.2,96,780.2,2.6,Cool
Shimla,2026-08-02T13:00,17.7,98,780.0,1.4,Cool
Shimla,2026-08-02T14:00,17.1,98,780.1,0.5,Cool
Shimla,2026-08-02T15:00,16.6,99,780.0,1.7,Cool
Shimla,2026-08-02T16:00,16.2,99,780.0,2.2,Cool
Shimla,2026-08-02T17:00,15.9,99,779.9,2.1,Cool
Shimla,2026-08-02T18:00,15.6,98,779.8,2.1,Cool
Shimla,2026-08-02T19:00,15.3,99,779.5,1.8,Cool
Shimla,2026-08-02T20:00,15.0,99,779.2,1.5,Cool
Shimla,2026-08-02T21:00,14.8,99,779.0,1.5,Cool
Shimla,2026-08-02T22:00,14.1,100,778.6,4.5,Cool
Shimla,2026-08-02T23:00,14.0,100,778.4,4.7,Cool
Shimla,2026-08-03T00:00,14.4,98,778.6,4.6,Cool
Shimla,2026-08-03T01:00,15.3,94,779.3,3.5,Cool
Shimla,2026-08-03T02:00,16.7,87,780.4,1.8,Cool
Shimla,2026-08-03T03:00,18.5,80,781.7,0.4,Cool
Shimla,2026-08-03T04:00,20.1,73,783.0,2.6,Cool
Shimla,2026-08-03T05:00,21.4,69,783.9,4.3,Cool
Shimla,2026-08-03T06:00,22.1,68,784.3,5.4,Cool
Shimla,2026-08-03T07:00,22.1,69,784.1,5.8,Cool
Shimla,2026-08-03T08:00,21.5,73,783.4,5.8,Cool
Shimla,2026-08-03T09:00,20.5,78,782.5,5.4,Cool
Shimla,2026-08-03T10:00,19.5,84,781.4,4.7,Cool
Shimla,2026-08-03T11:00,18.5,90,780.6,3.9,Cool
Shimla,2026-08-03T12:00,17.7,94,780.0,3.4,Cool
Shimla,2026-08-03T13:00,17.3,97,779.8,2.7,Cool
Shimla,2026-08-03T14:00,16.9,97,779.9,1.9,Cool
Shimla,2026-08-03T15:00,16.6,97,780.1,1.4,Cool
Shimla,2026-08-03T16:00,16.4,97,780.3,1.1,Cool
Shimla,2026-08-03T17:00,16.1,97,780.5,1.7,Cool
Shimla,2026-08-03T18:00,15.9,97,780.5,2.1,Cool
Shimla,2026-08-03T19:00,15.5,97,780.4,2.6,Cool
Shimla,2026-08-03T20:00,15.2,97,780.1,3.1,Cool
Shimla,2026-08-03T21:00,14.8,98,779.7,3.5,Cool
Shimla,2026-08-03T22:00,14.5,98,779.4,3.6,Cool
Shimla,2026-08-03T23:00,14.3,99,779.2,3.7,Cool
Leh,2026-07-28T00:00,13.2,58,679.7,0.9,Cool
Leh,2026-07-28T01:00,13.9,60,680.7,3.0,Cool
Leh,2026-07-28T02:00,15.7,52,682.7,2.1,Cool
Leh,2026-07-28T03:00,16.8,50,683.4,0.4,Cool
Leh,2026-07-28T04:00,18.1,48,683.9,1.7,Cool
Leh,2026-07-28T05:00,18.9,48,684.2,2.2,Cool
Leh,2026-07-28T06:00,18.7,51,684.1,3.2,Cool
Leh,2026-07-28T07:00,19.9,48,684.4,4.2,Cool
Leh,2026-07-28T08:00,21.0,41,683.9,4.8,Cool
Leh,2026-07-28T09:00,21.6,38,683.9,5.2,Cool
Leh,2026-07-28T10:00,21.6,37,683.4,4.9,Cool
Leh,2026-07-28T11:00,21.4,36,682.9,4.1,Cool
Leh,2026-07-28T12:00,20.8,37,682.3,6.0,Cool
Leh,2026-07-28T13:00,19.7,43,681.7,5.2,Cool
Leh,2026-07-28T14:00,18.1,49,680.7,0.9,Cool
Leh,2026-07-28T15:00,18.4,49,681.5,1.1,Cool
Leh,2026-07-28T16:00,18.0,49,681.6,1.0,Cool
Leh,2026-07-28T17:00,17.7,52,681.7,0.2,Cool
Leh,2026-07-28T18:00,16.3,54,680.8,0.7,Cool
Leh,2026-07-28T19:00,16.0,55,681.1,1.5,Cool
Leh,2026-07-28T20:00,15.5,54,680.9,1.7,Cool
Leh,2026-07-28T21:00,14.5,55,680.2,1.1,Cool
Leh,2026-07-28T22:00,13.7,55,679.7,1.3,Cool
Leh,2026-07-28T23:00,13.2,56,679.7,2.3,Cool
Leh,2026-07-29T00:00,12.9,55,679.8,2.0,Cool
Leh,2026-07-29T01:00,14.4,57,681.8,3.0,Cool
Leh,2026-07-29T02:00,16.2,44,683.8,4.0,Cool
Leh,2026-07-29T03:00,17.2,43,684.5,4.2,Cool
Leh,2026-07-29T04:00,18.4,42,685.1,3.8,Cool
Leh,2026-07-29T05:00,19.7,41,685.5,4.0,Cool
Leh,2026-07-29T06:00,20.6,40,685.6,5.6,Cool
Leh,2026-07-29T07:00,21.4,38,685.4,6.1,Cool
Leh,2026-07-29T08:00,21.6,37,685.0,4.1,Cool
Leh,2026-07-29T09:00,21.9,35,684.5,4.5,Cool
Leh,2026-07-29T10:00,21.8,36,684.1,6.9,Cool
Leh,2026-07-29T11:00,21.9,34,683.8,4.9,Cool
Leh,2026-07-29T12:00,22.0,33,683.5,3.5,Cool
Leh,2026-07-29T13:00,21.2,39,683.0,3.6,Cool
Leh,2026-07-29T14:00,19.2,43,682.2,2.1,Cool
Leh,2026-07-29T15:00,18.8,44,682.7,1.0,Cool
Leh,2026-07-29T16:00,18.0,46,682.6,0.5,Cool
Leh,2026-07-29T17:00,17.2,48,682.0,0.6,Cool
Leh,2026-07-29T18:00,16.7,50,681.8,0.7,Cool
Leh,2026-07-29T19:00,16.7,53,681.8,0.8,Cool
Leh,2026-07-29T20:00,16.0,58,681.1,0.9,Cool
Leh,2026-07-29T21:00,14.4,68,679.7,1.5,Cool
Leh,2026-07-29T22:00,13.2,73,678.7,1.8,Cool
Leh,2026-07-29T23:00,12.7,74,678.6,2.3,Cool
Leh,2026-07-30T00:00,12.4,72,678.5,2.3,Cool
Leh,2026-07-30T01:00,14.2,64,680.4,2.2,Cool
Leh,2026-07-30T02:00,16.8,52,683.1,2.8,Cool
Leh,2026-07-30T03:00,18.3,47,684.0,4.2,Cool
Leh,2026-07-30T04:00,19.8,41,684.7,3.1,Cool
Leh,2026-07-30T05:00,21.0,37,685.0,2.7,Cool
Leh,2026-07-30T06:00,22.2,34,684.9,4.1,Cool
Leh,2026-07-30T07:00,22.6,33,684.7,8.0,Cool
Leh,2026-07-30T08:00,23.1,32,684.5,6.8,Cool
Leh,2026-07-30T09:00,23.5,30,683.9,5.9,Cool
Leh,2026-07-30T10:00,23.5,30,683.5,8.1,Cool
Leh,2026-07-30T11:00,23.5,30,683.2,8.1,Cool
Leh,2026-07-30T12:00,23.2,30,683.1,6.4,Cool
Leh,2026-07-30T13:00,22.1,46,682.8,0.9,Cool
Leh,2026-07-30T14:00,20.7,40,682.3,0.8,Cool
Leh,2026-07-30T15:00,19.1,42,681.8,0.0,Cool
Leh,2026-07-30T16:00,17.7,46,681.2,0.4,Cool
Leh,2026-07-30T17:00,16.5,51,680.4,0.7,Cool
Leh,2026-07-30T18:00,15.5,56,679.7,0.9,Cool
Leh,2026-07-30T19:00,15.4,59,679.7,0.8,Cool
Leh,2026-07-30T20:00,14.8,61,679.3,0.8,Cool
Leh,2026-07-30T21:00,14.1,61,678.7,1.3,Cool
